TESAURO INTEF – NPROCOMUN,ÁRBOL CURRICULAR LOE,ETB LRE
Cultura Clásica,3.3.11,1976
Educación Cívica,2.3.4|3.1.4|3.2.4|3.3.4|3.4.5,213
Ética,3.4.5,441
Filosofía,4.1.3|4.1.5,968
Historia,3.1.2|3.2.2|3.3.2|3.4.3|4.1.4|4.1.5|4.2.7|4.2.15|4.2.34,590
Religiones,3.1.10|3.2.10|3.3.10|3.4.13,1085
Lengua,1.1.3| 2.1.4|2.1.9|2.1.10|2.1.11|2.1.13|2.2.4|2.2.9|2.2.10|2.2.11|2.2.13| 2.3.5|2.3.10|2.3.11|2.3.12|2.3.13|3.1.6|3.1.20|3.1.21|3.1.22|3.1.23|3.2.6|3.2.20|3.2.21|3.2.22|3.2.23|3.3.6|3.3.20|3.3.21|3.3.22|3.3.23|3.4.7|3.4.21|3.4.22|3.4.23|3.4.24|4.1.6,835|710|749
Literatura,1.1.3| 2.1.4|2.1.9|2.1.10|2.1.11|2.1.13 | 2.2.4|2.2.9|2.2.10|2.2.11|2.2.13| 2.3.5|2.3.10|2.3.11|2.3.12|2.3.13|3.1.6|3.1.20|3.1.21|3.1.22|3.1.23|3.2.6|3.2.20|3.2.21|3.2.22|3.2.23|3.3.6|3.3.20|3.3.21|3.3.22|3.3.23|3.4.7|3.4.21|3.4.22|3.4.23|3.4.24|4.1.6|4.2.17|2.1.6|2.1.7|2.1.8|2.2.6|2.2.7|2.2.8|2.3.7|2.3.8|2.3.9|3.1.12|3.1.13|3.1.14|3.2.12|3.2.13|3.2.14|3.3.12|3.3.13|3.3.14|3.4.14|3.4.15|3.4.16|4.1.7|4.1.8|4.1.9|7.2.1|7.2.2|7.2.3|7.3.1|7.3.2|7.3.3|7.4.1|7.4.2|7.4.3,758
Lenguas Extranjeras,2.1.6|2.1.7|2.1.8|2.2.6|2.2.7|2.2.8|2.3.7|2.3.8|2.3.9|3.1.12|3.1.13|3.1.14|3.2.12|3.2.13|3.2.14|3.3.12|3.3.13|3.3.14|3.4.14|3.4.15|3.4.16|4.1.7|4.1.8|4.1.9|7.2.1|7.2.2|7.2.3|7.3.1|7.3.2|7.3.3|7.4.1|7.4.2|7.4.3|3.4.12|4.2.35|4.2.36|4.2.32|4.2.33,508
Lenguas Clásicas,3.4.12|4.2.35|4.2.36|4.2.32|4.2.33,219
Ciencias de la Comunicación,4.2.1|4.2.14,3459
Ciencias de la Educación,,402
Economía,4.2.29,383
Formación Empresarial,4.2.30,168
Geografía,2.1.1 | 2.2.1 |2.3.1 | 3.1.2 | 3.2.2 | 3.3.2 |3.4.3|4.2.31,540
Psicología,,1040
Astronomía,3.1.1,104
Ciencias Biológícas,2.1.1 | 2.2.1 |2.3.1|3.1.1|3.2.1|3.3.1|3.4.2|4.2.18,143
Física,2.1.1 | 2.2.1 |2.3.1|3.2.1|3.3.1|3.4.1|4.2.22|4.2.23,978
Geología,2.1.1 | 2.2.1 |2.3.1|3.1.1|3.2.1|3.3.1|3.4.2|4.2.19,543
Química,2.1.1 | 2.2.1 |2.3.1|3.3.1|3.4.1|4.2.22|4.2.26,195
Matemáticas,2.1.5|2.2.5|3.3.6|3.1.7|3.2.7|3.3.7|3.4.8|4.2.24|4.2.25|4.2.37|4.2.38,790
Tecnologías,3.1.9|3.2.9|3.3.9|3.4.10|4.2.21|4.2.27|4.2.28,1292|425
Informática y Tecnologías de la Información,3.4.10|3.4.11,256|652
Deportes,,974
Educación Física,2.1.3|2.2.3|2.3.3|3.1.3|3.2.3|3.3.3|3.4.4|4.1.2,974
Artes Escénicas,3.4.19|4.2.13,960
Artes Gráficas,,558
Artes Plásticas,2.1.2|2.2.2|2.3.2|3.1.5|3.2.5|3.3.5|3.4.6|4.2.2|4.2.3|4.2.4|4.2.5|4.2.9,359|1153|939
Artesanía,,576
Diseño,4.2.6,324
Música,2.1.2|2.2.2|2.2.3|3.1.8|3.2.8|3.3.8|3.4.9|4.2.10|4.2.11|4.2.15|4.2.16,856
Educación Ambiental,,431
Educación Intercultural,,668
Educación para el Consumo,,267
Educación para la Paz,,387
Educación Sexual y para la Salud,,1177|583
Educación Vial,,1102
Formación y Orientación Laboral,,174
Orientación Académica,,1452
Tutoría,,3906
Necesidades educativas especiales,,4662|3991|4873|4205
