TESAURO INTEF – NPROCOMUN,ETB LRE,,,
Cultura Clásica,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES ##968#filosofía##3962#filosofía de la sociedad##303#cultura##1976#cultura clásica,,,
Educación Cívica,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##213#educación cívica,,,
Ética,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.90#70.90 ÉTICA/RELIGIÓN/IDEOLOGÍA##441#ética,,,
Filosofía,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##968#filosofía,,,
Historia,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##590#historia,,,
Religiones,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.90#70.90 ÉTICA/RELIGIÓN/IDEOLOGÍA##1085#religión,,,
Lengua,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##711#lenguas##835#leguas modernas,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##710#enseñanza de lenguas,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##749#lingüistica,
Literatura,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##758#literatura,,,
Lenguas Extranjeras,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##711#lenguas##508#lengua extranjera,,,
Lenguas Clásicas,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##711#lenguas##219#lenguas clásicas,,,
Ciencias de la Comunicación,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.20#70.20 HUMANIDADES##711#lenguas##3266#lengua y sociedad##3459#medios de comunicación,,,
Ciencias de la Educación,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.30#70.30 CIENCIAS SOCIALES Y DE LA CONDUCTA##1204#CIENCIAS SOCIALES##402#ciencias de la educación,,,
Economía,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.30#70.30 CIENCIAS SOCIALES Y DE LA CONDUCTA##1204#CIENCIAS SOCIALES##383#economía,,,
Formación Empresarial,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.50#70.50 CIENCIAS APLICADAS/TECNOLOGÍAS/TÉCNICAS##168#formación empresarial,,,
Geografía,M70#70 CONTENIDO DE LA EDUCACIÓN##M70.40#70.40 MATEMÁTICAS Y CIENCIAS DE LA NATURALEZA##1143#CIENCIAS##875#CIENCIAS DE LA NATURALEZA##977#CIENCIAS FÍSICAS##372#CIENCIAS DE LA TIERRA##540#geografía,,,
