TESAURO INTEF – NPROCOMUN,ETB LRE,,,
Cultura Clásica,M70#70 Content of education##M70.20#70.20 Humanities ##968#philosophy##3962#fphilosophy of society##303#culture##1976#classic culture,,,
Educación Cívica,M70#70 Content of education##M70.20#70.20 Humanities##213#civics,,,
Ética,M70#70 Content of education##M70.90#70.90 Ethics/religion/ideology##441#ethics,,,
Filosofía,M70#70 Content of education##M70.20#70.20 Humanities##968#philosophy,,,
Historia,M70#70 Content of education##M70.20#70.20 Humanities##590#history,,,
Religiones,M70#70 Content of education##M70.90#70.90 Ethics/religion/ideology##1085#religion,,,
Lengua,M70#70 Content of education##M70.20#70.20 Humanities##711#languages##835#modern languages,M70#70 Content of education##M70.20#70.20 Humanities##710#language teaching,M70#70 Content of education##M70.20#70.20 Humanities##749#linguistics,
Literatura,M70#70 Content of education##M70.20#70.20 Humanities##758#literature,,,
Lenguas Extranjeras,M70#70 Content of education##M70.20#70.20 Humanities##711#languages##508#foreign language,,,
Lenguas Clásicas,M70#70 Content of education##M70.20#70.20 Humanities##711#languages##219#classical languages,,,
Ciencias de la Comunicación,M70#70 Content of education##M70.20#70.20 Humanities##711#languages##3266#language and society##3459#means of communication,,,
Ciencias de la Educación,M70#70 Content of education##M70.30#70.30 Social and behavioural sciences##1204#social sciences##402#educational sciences,,,
Economía,M70#70 Content of education##M70.30#70.30 Social and behavioural sciences##1204#social sciences##383#economics,,,
Formación Empresarial,M70#70 Content of education##M70.50#70.50 Applied sciences/technologies/techniques##168#business education,,,
Geografía,M70#70 Content of education##M70.40#70.40 Mathematics and Natural Sciences##1143#sciences##875#natural sciences##977#physical sciences##372#earth sciences##540#geography,,,
Psicología,M70#70 Content of education##M70.30#70.30 Social and behavioural sciences##134#behavioural sciences##1040#psychology,,,
Astronomía,M70#70 Content of education##M70.40#70.40 Mathematics and Natural Sciences##1143#sciences##875#natural sciences##977#physical sciences##104#astronomy,,,
Ciencias Biológícas,M70#70 Content of education##M70.40#70.40 Mathematics and Natural Sciences##1143#sciences##875#natural sciences##143#biological sciences,,,
Física,M70#70 Content of education##M70.40#70.40 Mathematics and Natural Sciences##1143#sciences##875#natural sciences##977#physical sciences##978#physics,,,
Geología,M70#70 Content of education##M70.40#70.40 Mathematics and Natural Sciences##1143#sciences##875#natural sciences##977#physical sciences##372#earth sciences##543#geology,,,
Química,M70#70 Content of education##M70.40#70.40 Mathematics and Natural Sciences##1143#sciences##875#natural sciences##977#physical sciences##195#chemistry,,,
Matemáticas,M70#70 Content of education##M70.40#70.40 Mathematics and Natural Sciences##1143#sciences##790#mathematics,,,
Tecnologías,M70#70 Content of education##M70.50#70.50 Applied sciences/technologies/techniques##1292#technology,M70#70 Content of education##M70.50#70.50 Applied sciences/technologies/techniques##78#applied sciences##425#engineering,,
Informática y Tecnologías de la Información,M70#70 Content of education##M70.50#70.50 Applied sciences/technologies/techniques##78#applied sciences##256#computer science,M70#70 Content of education##M70.50#70.50 Applied sciences/technologies/techniques##1292#technology##652#information and communications technology,,
Deportes,M70#70 Content of education##M70.60#70.60 Physical education##974#physical education,,,
Educación Física,M70#70 Content of education##M70.60#70.60 Physical education##974#physical education,,,
Artes Escénicas,M70#70 Content of education##M70.80#70.80 Art and handicraft##91#art##960#performing arts,,,
Artes Gráficas,M70#70 Content of education##M70.80#70.80 Art and handicraft##91#art##558#graphic arts,,,
Artes Plásticas,M70#70 Content of education##M70.80#70.80 Art and handicraft##91#art##359#drawing,M70#70 Content of education##M70.80#70.80 Art and handicraft##91#art##1153#sculpture,M70#70 Content of education##M70.80#70.80 Art and handicraft##91#art##939#painting,
Artesanía,M70#70 Content of education##M70.80#70.80 Art and handicraft##576#handicrafts,,,
Diseño,M70#70 Content of education##M70.80#70.80 Art and handicraft##,,,
Música,M70#70 Content of education##M70.80#70.80 Art and handicraft##91#art##856#music,,,
Educación Ambiental,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##431#environmental education,,,
Educación Intercultural,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##668#intercultural education,,,
Educación para el Consumo,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##267#consumer education,,,
Educación para la Paz,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##387#education for peace,,,
Educación Sexual y para la Salud,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##1177#sex education,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##583#health education,,
Educación Vial,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##1102#road safety education,,,
Formación y Orientación Laboral,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##174#career education,,,
Orientación Académica,M50#50 Teaching/training/evaluation/guidance##569#guidance##276#counselling##1452#academic orientation,,,
Tutoría,M50#50 Teaching/training/evaluation/guidance##569#guidance##276#counselling##3906#pedagogical orientation,,,
Necesidades educativas especiales,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##4662#speech therapy,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##3991#physiotherapy,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##4873#therapeutic pedagogy,M70#70 Content of education##M70.70#70.70 Cross-curricular/extra-curricular activities##292#cross-curricular education##4205#psychomotricity
