TESAURO INTEF – NPROCOMUN,ETB LRE,,,
kultura klasikoa,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##968#filosofía##3962#gizarteaaren filosofia##303#kultura##1976#kultura klasikoa,,,
hezkuntza zibikoa,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##213#hezkuntza zibikoa,,,
Ética,M70#70 HEZKUNTZAREN EDUKIA##M70.90#70.90 ETIKA/ERLIJIOA/IDEOLOGIAK##441#etica,,,
Filosofía,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##968#filosofia,,,
Historia,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##590#historia,,,
Religiones,M70#70 HEZKUNTZAREN EDUKIA##M70.90#70.90 ETIKA/ERLIJIOA/IDEOLOGIAK##1085#erlijioa,,,
Lengua,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##711#hizkuntzak##835#hizkuntza modernoak,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##710#hizkuntzen irakaskuntza,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##749#linguistika,
Literatura,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##758#literatura,,,
hizkuntzak Extranjeras,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##711#hizkuntzak##508#atzerriko hizkuntza,,,
hizkuntzak Clásicas,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##711#hizkuntzak##219#hizkuntza klasikoak,,,
Ciencias de la Comunicación,M70#70 HEZKUNTZAREN EDUKIA##M70.20#70.20 GIZA ZIENTZIAK##711#hizkuntzak##3266#hizkuntza eta gizarteaa##3459#komunikabideak,,,
Ciencias de la Educación,M70#70 HEZKUNTZAREN EDUKIA##M70.30#70.30 GIZartea ETA JARRERA ZIENTZIAK##1204#gizartea zientziak##402#hezkuntza zientzia,,,
Economía,M70#70 HEZKUNTZAREN EDUKIA##M70.30#70.30 GIZartea ETA JARRERA ZIENTZIAK##1204#gizartea zientziak##383#zientzia ekonomikoak,,,
Formación Empresarial,M70#70 HEZKUNTZAREN EDUKIA##M70.50#70.50 APLIKATUTAKO ZIENTZIAK/TEKNOLOGIAK/TEKNIKAK##168#enpresa prestakuntza,,,
Geografía,M70#70 HEZKUNTZAREN EDUKIA##M70.40#70.40 MATEMATIKAK ETA NATUR ZIENTZIAK##1143#zientziak##875#natur zientziak##977#zientzia fisikoak##372#lur zientziak##540#geografia,,,
Psicología,M70#70 HEZKUNTZAREN EDUKIA##M70.30#70.30 GIZartea ETA JARRERA ZIENTZIAK##134#jokabide zientzia##1040#psipsikologiacología,,,
Astronomía,M70#70 HEZKUNTZAREN EDUKIA##M70.40#70.40 MATEMATIKAK ETA NATUR ZIENTZIAK##1143#zientziak##875#natur zientziak##977#zientzia fisikoak##104#astronomIa,,,
Ciencias Biológícas,M70#70 HEZKUNTZAREN EDUKIA##M70.40#70.40 MATEMATIKAK ETA NATUR ZIENTZIAK##1143#zientziak##875#natur zientziak##143#zientzia biologikoak,,,
Física,M70#70 HEZKUNTZAREN EDUKIA##M70.40#70.40 MATEMATIKAK ETA NATUR ZIENTZIAK##1143#zientziak##875#natur zientziak##977#zientzia fisikoak##978#fisika,,,
Geología,M70#70 HEZKUNTZAREN EDUKIA##M70.40#70.40 MATEMATIKAK ETA NATUR ZIENTZIAK##1143#zientziak##875#natur zientziak##977#zientzia fisikoak##372#lur zientziak##543#geologia,,,
Química,M70#70 HEZKUNTZAREN EDUKIA##M70.40#70.40 MATEMATIKAK ETA NATUR ZIENTZIAK##1143#zientziak##875#natur zientziak##977#zientzia fisikoak##195#químickimikaa,,,
Matemáticas,M70#70 HEZKUNTZAREN EDUKIA##M70.40#70.40 MATEMATIKAK ETA NATUR ZIENTZIAK##1143#zientziak##790#matematikak,,,
Tecnologías,M70#70 HEZKUNTZAREN EDUKIA##M70.50#70.50 APLIKATUTAKO ZIENTZIAK/TEKNOLOGIAK/TEKNIKAK##1292#teknologia,M70#70 HEZKUNTZAREN EDUKIA##M70.50#70.50 APLIKATUTAKO ZIENTZIAK/TEKNOLOGIAK/TEKNIKAK##78#zientzia aplikatuak##425#ingeniaritza,,
Informática y Tecnologías de la Información,M70#70 HEZKUNTZAREN EDUKIA##M70.50#70.50 APLIKATUTAKO ZIENTZIAK/TEKNOLOGIAK/TEKNIKAK##78#zientzia aplikatuak##256#informatika,M70#70 HEZKUNTZAREN EDUKIA##M70.50#70.50 APLIKATUTAKO ZIENTZIAK/TEKNOLOGIAK/TEKNIKAK##1292#teknologia##652#informazio eta komunikazioaren teknologiak,,
Deportes,M70#70 HEZKUNTZAREN EDUKIA##M70.60#0.60 GORPUTZ-HEZKUNTZA##974#gorputz hezkuntza,,,
Educación Física,M70#70 HEZKUNTZAREN EDUKIA##M70.60#0.60 GORPUTZ-HEZKUNTZA##974#gorputz hezkuntza,,,
arteas Escénicas,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##91#artea##960#arte eszenikoak,,,
arteas Gráficas,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##91#artea##558#arte grafikoak,,,
arteas Plásticas,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##91#artea##359#marrazketa,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 ARTEA ETA ARTISAUTZA##91#artea##1153#eskultura,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 ARTEA ETA ARTISAUTZA##91#artea##939#pintura,
arteasanía,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##576#artisautza,,,
Diseño,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##,,,
Música,M70#70 HEZKUNTZAREN EDUKIA##M70.80#70.80 arteaA ETA ARTISAUTZA##91#artea##856#musika,,,
Educación Ambiental,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##431#ingurumen hezkuntza,,,
Educación Interkultural,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##668#kultura arteko hezkuntza,,,
Educación para el Consumo,M70#70 HEZKUNTZAREN EDUKIA##M70.70#70.70 ESKOLAZ KANPOKO JARDUERAK ETA KURRIKULUMAREN ZEHARKAKO EREMUAK##292#zeharkako hezkuntza##267#kontsumorako hezkuntza,,,
