TESAURO INTEF – NPROCOMUN,ETB LRE,,,
Cultura Clásica,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##968#filosofía##3962#filosofía da sociedade##303#cultura##1976#cultura clásica,,,
Educación Cívica,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##213#educación cívica,,,
Ética,M70#70 CONTIDO DA EDUCACIÓN##M70.90#70.90 ÉTICA/RELIXIÓN/IDEOLOXÍA##441#ética,,,
Filosofía,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##968#filosofía,,,
Historia,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##590#historia,,,
Religiones,M70#70 CONTIDO DA EDUCACIÓN##M70.90#70.90 ÉTICA/RELIXIÓN/IDEOLOXÍA##1085#religión,,,
Lengua,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##711#linguas##835#inguas modernas,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##710#ensino de linguas,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##749#lingüistica,
Literatura,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##758#literatura,,,
linguas Extranjeras,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##711#linguas##508#lingua estranxeira,,,
linguas Clásicas,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##711#linguas##219#linguas clásicas,,,
Ciencias de la Comunicación,M70#70 CONTIDO DA EDUCACIÓN##M70.20#70.20 HUMANIDADES##711#linguas##3266#lingua e sociedade##3459#medios de comunicación,,,
Ciencias de la Educación,M70#70 CONTIDO DA EDUCACIÓN##M70.30#70.30 CIENCIAS SOCIAIS E DA CONDUTA##1204#ciencias sociais##402#ciencias da educación,,,
Economía,M70#70 CONTIDO DA EDUCACIÓN##M70.30#70.30 CIENCIAS SOCIAIS E DA CONDUTA##1204#ciencias sociais##383#ciencias económicas,,,
Formación Empresarial,M70#70 CONTIDO DA EDUCACIÓN##M70.50#70.50 CIENCIAS APLICADAS/TECNOLOXÍAS/TÉCNICAS##168#formación empresarial,,,
Geografía,M70#70 CONTIDO DA EDUCACIÓN##M70.40#70.40 MATEMÁTICAS E CIENCIAS DA NATUREZA##1143#CIENCIAS##875#ciencias da natureza##977#CIENCIAS FÍSICAS##372#ciencias da terra##540#xeografía,,,
Psicología,M70#70 CONTIDO DA EDUCACIÓN##M70.30#70.30 CIENCIAS SOCIAIS E DA CONDUTA##134#ciencias da conduta##1040#psicoloxía,,,
Astronomía,M70#70 CONTIDO DA EDUCACIÓN##M70.40#70.40 MATEMÁTICAS E CIENCIAS DA NATUREZA##1143#CIENCIAS##875#ciencias da natureza##977#CIENCIAS FÍSICAS##104#astronomía,,,
Ciencias Biológícas,M70#70 CONTIDO DA EDUCACIÓN##M70.40#70.40 MATEMÁTICAS E CIENCIAS DA NATUREZA##1143#CIENCIAS##875#ciencias da natureza##143#ciencias biolóxicas,,,
Física,M70#70 CONTIDO DA EDUCACIÓN##M70.40#70.40 MATEMÁTICAS E CIENCIAS DA NATUREZA##1143#CIENCIAS##875#ciencias da natureza##977#CIENCIAS FÍSICAS##978#física,,,
Geología,M70#70 CONTIDO DA EDUCACIÓN##M70.40#70.40 MATEMÁTICAS E CIENCIAS DA NATUREZA##1143#CIENCIAS##875#ciencias da natureza##977#CIENCIAS FÍSICAS##372#ciencias da terra##543#xeoloxía,,,
Química,M70#70 CONTIDO DA EDUCACIÓN##M70.40#70.40 MATEMÁTICAS E CIENCIAS DA NATUREZA##1143#CIENCIAS##875#ciencias da natureza##977#CIENCIAS FÍSICAS##195#química,,,
Matemáticas,M70#70 CONTIDO DA EDUCACIÓN##M70.40#70.40 MATEMÁTICAS E CIENCIAS DA NATUREZA##1143#CIENCIAS##790#matemáticas,,,
Tecnologías,M70#70 CONTIDO DA EDUCACIÓN##M70.50#70.50 CIENCIAS APLICADAS/TECNOLOXÍAS/TÉCNICAS##1292#tecnoloxía,M70#70 CONTIDO DA EDUCACIÓN##M70.50#70.50 CIENCIAS APLICADAS/TECNOLOXÍAS/TÉCNICAS##78#CIENCIAS APLICADAS##425#enxeñería,,
