TESAURO INTEF – NPROCOMUN,ÁRBOL CURRICULAR LOE,ETB LRE
Educación Especial,1#Educació Especial,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1227#educació especial
Educación Infantil,2#Educació Infantil,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1017#educació preescolar
Educación Primaria,3#Educació Primària,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1024#educació primària
6 -7 años / Primer curso,3#Educació Primària##3.1#Primer cicle##3.1.1#Primer curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1024#educació primària
7 - 8 años / Segundo curso,3#Educació Primària##3.1#Primer cicle##3.1.2#Primer curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1024#educació primària
8 - 9 años / Tercer curso,3#Educació Primària##3.2#Segon cicle##3.2.1#Tercer curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1024#educació primària
9 - 10 años / Cuarto curso,3#Educació Primària##3.2#Segon cicle##3.2.2#Quart curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1024#educació primària
10 - 11 años / Quinto curso,3#Educació Primària##3.3#Tercer cicle##3.3.1#Cinquè curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1024#educació primària
11 - 12 / Sexto curso,3#Educació Primària##3.3#Tercer cicle##3.3.2#Sisè curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1024#educació primària
Educación Secundaria Obligatoria,4#Educació Secundària Obligatòria,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1158#educación secundaria
12 - 13 años / Primer curso,4#Educació Secundària Obligatòria##4.1#Primer curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1158#educació secundària
13 - 14 años / Segundo curso,4#Educació Secundària Obligatòria##4.2#Segon curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1158#educació secundària
14 - 15 años / Tercer curso,4#Educació Secundària Obligatòria##4.3#Tercer curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1158#educació secundària
15 - 16 / Cuarto curso,4#Educació Secundària Obligatòria##4.4#Quart curs,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1158#educació secundària
Bachillerato,6#Batxillerat,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1158#educació secundària
Formación Profesional,8#Formació Professional###7#Programes de Qualificació Professional Inicial,M60#60 SISTEMA EDUCATIU##386#educació##1369#formació professional
Formación Profesional Básica (más de 15 años),7#Programes de Qualificació Professional Inicial,M60#60 SISTEMA EDUCATIU##386#educació##1369#formació professional##3110#formació professional inicial
Ciclo formativo grado medio (más de 16 años),8#Formació Professional##8.1#Cicle formatiu grau mitjà,M60#60 SISTEMA EDUCATIU##386#educació##1369#formació professional##4659#formació professional específica##3538#cicles formatius de grau mitjà
Ciclo formativo grado superior (más de 18 años),8#Formació Professional##8.2#Cicle formatiu grau superior,M60#60 SISTEMA EDUCATIU##386#educació##1369#formació professional##4659#formació professional específica##2939#cicles formatius de grau superior
Educación de Personas Adultas,9#Educació de Persones Adultes,M60#60 SISTEMA EDUCATIU##386#educació##28#educació d'adults
Enseñanza oficial de idiomas,10#Ensenyances de Règim Especial##10.1#Escola oficial d’idiomes,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##4782#ensenyaments oficials d'idiomes
Nivel básico (A),10#Ensenyances de Règim Especial##10.1#Escola oficial d’idiomes##10.1.1#Nivell bàsic,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##4782#ensenyaments oficials d'idiomes
Nivel intermedio (B),10#Ensenyances de Règim Especial##10.1#Escola oficial d’idiomes##10.1.2#Nivell mitjà,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##4782#ensenyaments oficials d'idiomes
Nivel avanzado ( C ),10#Ensenyances de Règim Especial##10.1#Escola oficial d’idiomes##10.1.3#Nivell avançat,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##4782#ensenyaments oficials d'idiomes
Enseñanzas de artes plásticas y diseño,10#Ensenyances de Règim Especial##10.2#Ensenyances artístiques##10.2.1#Ensenyances d’arts plàstiques i disseny###10#Ensenyances de Règim Especial##10.2#Ensenyances artístiques##10.2.2#Estudis superiors d’arts plàstiques i disseny,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1623#Ensenyances artístiques
Enseñanzas de música,10#Ensenyances de Règim Especial##10.2#Ensenyances artístiques##10.2.3#Ensenyances de música,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1623#Ensenyances artístiques
Enseñanzas de danza,10#Ensenyances de Règim Especial##10.2#Ensenyances artístiques##10.2.4#Ensenyances de dansa,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1623#Ensenyances artístiques
Enseñanzas de arte dramático,10#Ensenyances de Règim Especial##10.2#Ensenyances artístiques##10.2.5#Ensenyances d’art dramàtic,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##1623#Ensenyances artístiques
Enseñanzas deportivas,10#Ensenyances de Règim Especial##10.3#Ensenyances esportives,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##4676#ensenyaments esportius
Enseñanzas Universitarias,11#Ensenyances Universitàries,M60#60 SISTEMA EDUCATIU##403#SISTEMA EDUCATIU##587#educació superior
Formación del Profesorado,,M60#60 SISTEMA EDUCATIU##386#educació##1273#formació de professors
