TESAURO INTEF – NPROCOMUN,ÁRBOL CURRICULAR LOE,ETB LRE
Educación Especial,1,1227
Educación Infantil,2,1017
Educación Primaria,3,1024
6 -7 años / Primer curso,3.1.1,1024
7 - 8 años / Segundo curso,3.1.2,1024
8 - 9 años / Tercer curso,3.2.1,1024
9 - 10 años / Cuarto curso,3.2.2,1024
10 - 11 años / Quinto curso,3.3.1,1024
11 - 12 / Sexto curso,3.3.2,1024
Educación Secundaria Obligatoria,4,1158
12 - 13 años / Primer curso,4.1,1158
13 - 14 años / Segundo curso,4.2,1158
14 - 15 años / Tercer curso,4.3,1158
15 - 16 / Cuarto curso,4.4,1158
Bachillerato,6,1158
Formación Profesional,8  | 7,1369
Formación Profesional Básica (más de 15 años),7,3110
Ciclo formativo grado medio (más de 16 años),8.1,3538
Ciclo formativo grado superior (más de 18 años),8.2,2939
Educación de Personas Adultas,9,28
Enseñanza oficial de idiomas,10.1,4782
Nivel básico (A),10.1.1,4782
Nivel intermedio (B),10.1.2,4782
Nivel avanzado ( C ),10.1.3,4782
Enseñanzas de artes plásticas y diseño,10.2.1 | 10.2.2,1623
Enseñanzas de música,10.2.3,1623
Enseñanzas de danza,10.2.4,1623
Enseñanzas de arte dramático,10.2.5,1623
Enseñanzas deportivas,10.3,4676
Enseñanzas Universitarias,11,587
Formación del Profesorado,,1273
