TESAURO INTEF – NPROCOMUN,Edad del destinatario
Educación Especial,
Educación Infantil,0-6
Educación Primaria,6-12
6 -7 años / Primer curso,6-7
7 - 8 años / Segundo curso,7-8
8 - 9 años / Tercer curso,8-9
9 - 10 años / Cuarto curso,9-10
10 - 11 años / Quinto curso,10-11
11 - 12 / Sexto curso,11-12
Educación Secundaria Obligatoria,12-16
12 - 13 años / Primer curso,12-13
13 - 14 años / Segundo curso,13-14
14 - 15 años / Tercer curso,14-15
15 - 16 / Cuarto curso,15-16
Bachillerato,16-18
Formación Profesional,
Formación Profesional Básica (más de 15 años),
Ciclo formativo grado medio (más de 16 años),
Ciclo formativo grado superior (más de 18 años),
Educación de Personas Adultas,
Enseñanza oficial de idiomas,
Nivel básico (A),
Nivel intermedio (B),
Nivel avanzado ( C ),
Enseñanzas de artes plásticas y diseño,
Enseñanzas de música,
Enseñanzas de danza,
Enseñanzas de arte dramático,
Enseñanzas deportivas,
Enseñanzas Universitarias,
Formación del Profesorado,
