VOCABULARIO TIPO RECURSO PROCOMUN,VOCABULARIO TIPO RECURSO LOM ES,VOCABULARIO TIPO RECURSO LOM ES (EN)
Fotografía,Fotografía,photograph
Ilustración,Ilustración,illustration
Video,Video,video
Animación,Animación,animation
Música,Música,music
Efecto sonoro,Efecto sonoro,sound effect
Locución,Locución,voice-over
Texto narrativo,Texto narrativo,narrative text
Presentación multimedia,Presentación multimedia,multimedia presentation
Gráfica,Gráfico,graph
Mapa conceptual,Mapa conceptual,conceptual map
Lección magistral,Lección magistral,master class
Ejercicio o problema cerrado,Ejercicio o problema cerrado,closed exercise or problem
Basado en proyectos,Proyecto real,real project
Juego didáctico,Juego didáctico,didactic game
Webquest,Webquest,webquest
Problema abierto,Problema abierto,open problem
Simulación,Simulación,simulation
Cuestionario,Cuestionario,questionnaire
