TESAURO INTEF – NPROCOMUN,ÁRBOL CURRICULAR LOE,ETB LRE
Fotografía,photograph,
Ilustración,illustration | computer graphics,
Video,video,
Animación,animation,
Música,music,
Efecto sonoro,sound effect  | compound audio,
Locución,voice-over,
Texto narrativo,narrative text | hypertext,
Presentación multimedia,multimedia presentation | wiki | weblog | thematic or corporate webs/web portals | integrated media | digital dictionary| digital encyclopaedia | digital periodical publication,
Gráfica,table | graph | database,
Mapa conceptual,conceptual map,
Lección magistral,tutorial | guided reading | master class | textual-image analysis | discussion activity,
Ejercicio o problema cerrado,closed exercise or problem | contextualized case problem,
Basado en proyectos ,real project,
Juego didáctico,didactic game,
Webquest,webquest,
Aprendizaje basado en problemas,open problem | real or virtual learning environment,
Simulación,experiment | simulation,
Cuestionario,questionnaire | exam | self assessment,
