TESAURO INTEF – NPROCOMUN,ÁRBOL CURRICULAR LOE,ETB LRE
Cultura Clásica,Cultura Clásica,
Educación Cívica,Educación para la Ciudadanía|Educación para la Ciudadanía y los Derechos Humanos|Educación para la Ciudadanía y los Derechos Humanos|Educación para la Ciudadanía y los Derechos Humanos|Educación Ético – Cívica,
Ética,Educación Ético – Cívica,
Filosofía,Filosofía y Ciudadanía|Historia de la Filosofía,
Historia,"Ciencias Sociales, Geografía e Historia|Ciencias Sociales, Geografía e Historia|Ciencias Sociales, Geografía e Historia|Ciencias Sociales, Geografía e Historia|Historia de España|Historia de la Filosofía|Historia del Arte|Historia de la Música y de la Danza|Historia del Mundo Contemporáneo",
Religiones,Historia y Cultura de las Religiones|Historia y Cultura de las Religiones|Historia y Cultura de las Religiones|Historia y Cultura de las Religiones,
Lengua,Lenguajes: Comunicación y representación|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Vasca y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Vasca y Literatura|Lengua Castellana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Vasca y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Vasca y Literatura Modelo|Lengua Castellana y Literatura,
Literatura,Lenguajes: Comunicación y representación|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Vasca y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Vasca y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Castellana y Literatura|Lengua Valenciana y Literatura|Lengua Catalana y Literatura|Lengua Asturiana y Literatura|Lengua Vasca y Literatura Modelo|Lengua Castellana y Literatura|Literatura Universal|Literatura Universal|Lengua Francesa y Literatura|Lengua Alemana y Literatura|Lengua Inglesa y Literatura|Lengua Francesa y Literatura|Lengua Alemana y Literatura|Lengua Inglesa y Literatura|Lengua Francesa y Literatura|Lengua Alemana y Literatura|Lengua Francesa|Lengua Alemana|Taller Tecnológico y Profesional|Lengua Francesa|Lengua Alemana|Taller Tecnológico y Profesional|Lengua Inglesa|Lengua Francesa|Lengua Alemana|Lengua Inglesa|Lengua Francesa|Lengua Alemana|Lengua Inglesa|Lengua Francesa|Lengua Alemana|Nivel Básico|Nivel Intermedio|Nivel Avanzado|Nivel Básico|Nivel Intermedio|Nivel Avanzado|Nivel Básico|Nivel Intermedio|Nivel Avanzado,
Lenguas Extranjeras,Lengua Inglesa y Literatura|Lengua Francesa y Literatura|Lengua Alemana y Literatura|Lengua Inglesa y Literatura|Lengua Francesa y Literatura|Lengua Alemana y Literatura|Lengua Inglesa y Literatura|Lengua Francesa y Literatura|Lengua Alemana y Literatura|Lengua Francesa|Lengua Alemana|Taller Tecnológico y Profesional|Lengua Francesa|Lengua Alemana|Taller Tecnológico y Profesional|Lengua Inglesa|Lengua Francesa|Lengua Alemana|Lengua Inglesa|Lengua Francesa|Lengua Alemana|Lengua Inglesa|Lengua Francesa|Lengua Alemana|Nivel Básico|Nivel Intermedio|Nivel Avanzado|Nivel Básico|Nivel Intermedio|Nivel Avanzado|Nivel Básico|Nivel Intermedio|Nivel Avanzado|Latín|Latín I|Latín II|Griego I|Griego II,
Lenguas Clásicas,Latín|Latín I|Latín II|Griego I|Griego II,
