ETIQUETA,ETIQUETA SOCIAL,AREA DE CONOCIMIENTO,CONTEXTO EDUCATIVO
MATEMÁTICAS,,Matemáticas,
LENGUA Y LITERATURA,,Lengua|Literatura,
CIENCIAS NATURALES,Ciencias Naturales,,
FÍSICA,,Física,
QUÍMICA,,Química,
BIOLOGÍA,,Ciencias Biológicas,
GEOLOGÍA,,Geología,
CIENCIAS DE LA TIERRA Y MEDIOAMBIENTE,Ciencias de la Tierra y del Medio Ambiente,,
HISTORIA DE LA CIENCIA,Historia de la Ciencia,,
CIENCIAS SOCIALES,Ciencias Sociales,,
ECONOMIA,,Economía,
GEOGRAFÍA,,Geografía,
HISTORIA DEL MUNDO,,Historia,
HISTORIA DEL ARTE,,Historia,
HISTORIA DE ESPAÑA,,Historia,
TECNOLOGÍAS,,Tecnologías,
ELECTROTECNIA,,Tecnologías,
TECNOLOGÍA,,Tecnologías,
TECNOLOGÍA INDUSTRIAL,,Tecnologías,
TECNOLOGÍA DE LA INFORMACIÓN,,Tecnologías,
ARTES PLÁSTICAS,,Artes Plásticas,
DIBUJO ARTÍSTICO,,Artes Plásticas,
DIBUJO TÉCNICO,Dibujo Técnico,,
DISEÑO,,Diseño,
VOLUMEN,,Artes Plásticas,
TECNICAS DE EXPRESIÓN GRÁFICO-PLÁSTICA,,Artes Plásticas,
ARTES ESCÉNICAS,,Artes Escénicas,
MÚSICA,,Música,
DANZA,,Artes Escénicas,
TEATRO,,Artes Escénicas,
CINE,,Artes Escénicas,
FILOSOFÍA Y ÉTICA,,Filosofía|Ética,
ÉTICA,,Ética,
FILOSOFÍA,,Filosofía,
HISTORIA DE LA FILOSOFÍA,,Filosofía,
LENGUA EXTRANJERAS,,Lenguas Extranjeras,
INGLÉS - LENGUA EXTRANJERA,Inglés,Lenguas Extranjeras,
FRANCÉS - LENGUA EXTRANJERA,Francés,Lenguas Extranjeras,
ALEMÁN - LENGUA EXTRANJERA,Alemán,Lenguas Extranjeras,
CULTURA Y LENGUAS CLÁSICAS,,Cultura Clásica,
LATIN,Latín,Cultura Clásica,
GRIEGO,Griego,Cultura Clásica,
CULTURA CLÁSICA,,Cultura Clásica,
RELIGIÓN,,Religiones,
ORIENTACIÓN Y TUTORÍA,,Orientación Académica|Tutoría,
AREAS TRANSVERSALES,Áreas Transversales,,
EDUCACIÓN PARA EL OCIO,Educación para el ocio,,
EDUCACIÓN AMBIENTAL,,Educación Ambiental,
EDUCACIÓN INTERCULTURAL,,Educación Intercultural,
EDUCACIÓN PARA EL CONSUMO,,Educación para el Consumo,
EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,,Educación Ambiental,
EDUCACIÓN PARA EL TRABAJO,,Formación y Orientación Laboral,
EDUCACIÓN PARA LA PAZ,,Educación para la Paz,
EDUCACIÓN PARA LA SALUD,,Educación Sexual y para la Salud,
EDUCACIÓN SEXUAL,,Educación Sexual y para la Salud,
EDUCACIÓN TECNOLÓGICA,,Tecnologías,
EDUCACIÓN VIAL,,Educación Vial,
EDUCACIÓN FÍSICA,,Educación Física,
,,,
,,,
0-3 años/1º  Ciclo Infantil,,,Educación Infantil
3-6 años/2º  Ciclo Infantil,,,Educación Infantil
6-8 años/1er Ciclo Primaria,,,6 -7 años / Primer curso|7 - 8 años / Segundo curso
8-10 años/2º Ciclo Primaria,,,8 - 9 años / Tercer curso|9 - 10 años / Cuarto curso
10-12 años/3er Ciclo Primaria,,,10 - 11 años / Quinto curso|11 - 12 / Sexto curso
12-14 años/1er Ciclo Secundaria,,,12 - 13 años / Primer curso|13 - 14 años / Segundo curso
14-16 años/2º Ciclo Secundaria,,,14 - 15 años / Tercer curso|15 - 16 / Cuarto curso
16-18 años/BACHILLERATO,,,Bachillerato
FP Básica,,,Formación Profesional Básica (más de 15 años)
FP Grado Medio ,,,Ciclo formativo grado medio (más de 16 años)
FP Grado Superior,,,Ciclo formativo grado superior (más de 18 años)
EOI-Escuelas Oficiales de Idiomas,,,Enseñanza oficial de idiomas
Enseñanzas Artísticas,,,Enseñanzas de artes plásticas y diseño|Enseñanzas de música|Enseñanzas de danza|Enseñanzas de arte dramático
Educación de Adultos,,,Educación de Personas Adultas
Educación Especial,,,Educación Especial
,,,
,,,
#ABP_MOOC,ABP|MOOC,,
ABP,ABP,,
AbP,ABP,,
ABP inglés,ABP|Inglés,Lenguas extranjeras,
